NOME;CIDADE;EMAIL ;CONTATO DE REFERENCIA ;TELEFONE
CENTRO DE SAÚDE III - RUA QUINCAS MOURA, Nº135, RINCÃO;RINCÃO;diretoria-saude@rincao.gov.br;ARADRINA RAIL DE OLIVEIRA;(16) 33959200
"CENTRO DE SAUDE III - RUA THEODOMIRO ALVES CORREA, 71 - SANTA RITA D""OESTE";"SANTA RITA D""OESTE";saude@santaritadoeste.sp.gov.br;LEONARDO RODRIGO SANGALETI;(17) 36431127 / (17) 36431242
CENTRO DE SAÚDE III ARANDU;ARANDU SP;diretoriasaudearandu@gmail.com;MARIA EDUARDA;(14) 37661133 / (14) 37661300
CENTRO DE SAÚDE III NELSON DO VALLE - RUA DEPUTADO CASTRO DE CARVALHO, Nº333, CENTRO;ALVARES FLORENCE;saudealvares@hotmail.com;GLAUCIA WAIDEMAN FERNANDES;(17) 34861149 / (17) 34861193
CENTRO DE SAÚDE LAURA DO VAL CERVI - TERRA ROXA;TERRA ROXA;assistenciasocialsaudetr@gmail.com;SIMONE VALÉRIA QUINÁRIA JORGE - DIRETORIA MUNICIPAL DE SAÚDE;(17) 33951144
CENTRO DE SAÚDE ROSA BORANGA RIBEIRO - TAGUAÍ;TAGUAÍ;csrosaboranga@taguai.sp.gov.br / social.saude@taguai.sp.gov.br;CARLOS RODOLFO RODRIGUES;(14) 33869030
CENTRO DE SAÚDE SEBASTIÃO RIBEIRO DO VALE -  RUA FLORIANO PEIXOTO, 205 CENTRO - CACONDE;CACONDE ;cs2@pmcaconde.sp.gov.br;GERALDO MARQUES - DIRETOR DE SAÚDE ;(19) 36627100
CENTRO MÉDICO JANUÁRIO THEODORO DE SOUZA - RUA PEREIRA BARRETO, 925, JARDIM MIRIAM;PRADÓPOLIS;atencaobasica@pradopolis.sp.gov.br / sms@pradopolis.sp.gov.br;DAIANA PATRICIA MARCHETTI PIO;(16) 39819502
CMS RUY DE CAMARGO - AL.GULLA, Nº725, GAVIÃO PEIXOTO;GAVIÃO PEIXOTO;sec.saude@gaviaopeixoto.sp.gov.br / amanda-evangelista2011@hotmail.com;AMANDA EVANGELISTA E ANTONIO MARCOS GULLA ;(16) 33388767 / (16) 991596161
COORDENADORIA CAMPINAS;CAMPINAS;smpdc.prevdrogas@campinas.sp.gov.br;CPUD - MARILDA;(19) 32829209 / (19) 32123730
COORDENADORIA DE SAÚDE - RUA LAZARO SOARES DIAS N° 570;MENDONÇA;saudemendonca@mendonca.sp.gov.br; MARTA ALVES DE SOUZA ;(17) 32481220
COORDENADORIA ESTADUAL DE POLÍTICAS SOBRE DROGA (COED);SÃO PAULO;talita.passos@sp.gov.br;TALITA DA CRUZ PASSOS;(11) 27638332
CORDENADORIA MUNICIPAL DE SAÚDE - POTIRENDABA;POTIRENDABA;saude@potirendaba.sp.gov.br;ANDREIA;(17) 38279315 - (17) 997466589
CRAS NOVA CAMPINA;NOVA CAMPINA;social.febract@gmail.com;DEBORA ;(15) 997568670 / (15) 35351166
CRAS RIBEIRÃO BRANCO;RIBEIRÃO BRANCO;cras@ribeiraobranco.gov.sp.br / elisilviadealmeida@yahoo.com.br;ELI SILVIA DE ALMEIDA;(15) 997968567 / (15) 35531163
CRATOD;SÃO PAULO;social.cratod@gmail.com;RAQUEL  ;(11) 33294488
CRATOD SOCIAL - CENA DE USO;SÃO PAULO;jackson.santana@cratod.spdm.org.br;JACKSON SANTANA;(11) 95437454
CREAS - SÃO JOAQUIM DA BARRA;SÃO JOAQUIM DA BARRA;assistenciasocial@saojoaquimdabarra.sp.gov.br;MARISTELA FLORA BAPTISTTUCI FERREIRA;(16) 38182755
CREAS - TABOÃO DA SERRA;TABOÃO DA SERRA;social.febract@gmail.com;NICE;(11) 41391105
CREAS CENTRO - JUQUITIBA;JUQUITIBA;creascentro@juquitiba.sp.gov.br;MARIA SALETE DA SILVA;(11) 46814227
CRRAM - CENTRO DE REABILITAÇÃO REEDUCAÇÃO E APOIO MUTIPROFISSIONAL  ;ESPIRITO SANTO DO TURVO;crram@espiritosantodoturvo.sp.gov.br; ALIETE MARIA - COORDENADORA CRRAM ;(14) 33751042
CS II - RUA CATANDUVA, 123 - URÂNIA;URÂNIA;secretaria.saude@urania.sp.gov.br;ALESSANDRA DIAS MARIN;(17) 36341398
CS III DR.ANTONIO VIDAL RUA: FERRENCIO ZONEVELHO, 436 FLOREAL;FLOREAL;csfloreal@hotmail.com; MICHELE SILVA- A. SOCIAL ;(17) 38471173 / (17) 99758329
CSII DR HÉLIO LISCIOTTO RUA : OSVALDO CRUZ Nº 745 CENTRO MONTE APRAZIVEL;MONTE APRAZIVEL;saudemonteaprazivel@hotmail.com;JULIANA MARTINS ACESSORA MUNICIPAL DE SAÚDE ;(17) 32959760
DEPARTAMENTO DE SAÚDE - JACUPIRANGA;JACUPIRANGA;socialsaude@jacupiranga.sp.gov.br;KELLY CRISTINA DE ALMEIDA;(13) 38646165
DEPARTAMENTO DE SAÚDE - PALMARES PAULISTA;PALMARES PAULISTA;ubs@palmarespaulista.sp.gov.br;LEIA PAULA - DIRETORA ;(17) 35871164
DEPARTAMENTO DE SAÚDE - PREFEITURA DE ITARIRI;ITARIRI;dsi@itariri.sp.gov.br;ARIANE LOURDES MOREIRA DE OLIVEIRA;(13) 34188000 / (13) 996535401
DEPARTAMENTO DE SAÚDE - SANTO ANTONIO DO ARACANGUÁ;SANTO ANTONIO DO ARACANGUÁ;raira_silos19@hotmail.com;RAIRA DA SILVA SILOS;(18) 36399595
DEPARTAMENTO DESENVOLVIMENTO SOCIAL - ILHA COMPRIDA;ILHA COMPRIDA;mantovani.marcia@yahoo.com.br;MÁRCIA CRISTINA MANTOVANI;(13) 38427023 / (13) 981735117
DEPARTAMENTO MUNICIPAL DE SAÚDE - RUA DEMETRIO CALFAT, Nº145, CENTRO, DOURADO;DOURADO;saude@dourado.sp.gov.br / agendamentodourado@gmail.com;LUANA MATULO DO AMARAL;(16) 33453087
DEPARTAMENTO MUNICIPAL DE SAÚDE DE GUAÍRA;GUAÍRA;capsmarcosferreira@yahoo.com.br;GABRIEL OU ADRIANA;(17) 99785142 / (17) 82042899
DEPARTAMENTO MUNICIPAL DE SAÚDE DE ITAJOBI;ITAJOBI;saudeitajobi@gmail.com;LUCIANA RENATA MOREIRA ;(17) 35469028
DEPARTAMENTO MUNICIPAL DE SAÚDE DE TORRINHA;TORRINHA SP;saude@torrinha.sp.gov.br;KARINA TEDESCHI;(14) 36569600 / (14) 996394023
DIRETORIA MUNICIPAL DE ASSISTÊNCIA SOCIAL - BILAC;BILAC;social.febract@gmail.com;ANTONIA MARINHO NAVACCHIO;(18) 36591639
DIRETORIA MUNICIPAL DE ASSISTÊNCIA SOCIAL - RINCÃO;RINCÃO;rincaosocial@gmail.com;SILVANI SOUZA ALVES;(16) 33951169 / (16) 997124992
DIRETORIA MUNICIPAL DE HIGIENE E SAÚDE DE OCAUÇU;OCAUÇU; saude@ocaucu.sp.gov.br;RAUDENIZ MANSIP PEREZ;(14) 34751205 / (14) 34751336
DIRETORIA MUNICIPAL DE RIBEIRÃO GRANDE;RIBEIRÃO GRANDE;admsaude@ribeiraogrande.sp.gov.br;DANIELE APARECIDA DE LARA;(15) 997394264 / (15) 35441109
DIRETORIA MUNICIPAL DE SAÚDE - PRATÂNIA;PRATANIA;dms@pratania.sp.gov.br;LUCAS;(14) 38448210 / (14) 38448214
DIRETORIA MUNICIPAL DE SAÚDE DE TAQUARIVAÍ;TAQUARIVAÍ;saude@taquarivai.sp.gov.br / cecilia_associal@hotmail.com;CECÍLIA APARECIDA FERREIRA;(15) 35841024 / (15) 997199244
DRS III - ARARAQUARA;ARARAQUARA;drs3-regulacao@saude.sp.gov.br;ANGELA RAQUEL DE OLIVEIRA SCHIAVON;(16) 33011885 / (16) 992912073
DRS IV - BAIXADA SANTISTA;SANTOS;drsiv-nr@saude.sp.gov.br / ivetebio@hotmail.com;IVETE FIALHO;(13) 32272030 / (13) 991163312
DRS V - BARRETOS;BARRETOS;drs5barretos.nr@gmail.com / drs5cartaorecomeco@gmail.com;FLAVIA CARDOSO DE SOUSA FREITAS CASTRO;(17) 33217359
DRS VI - BAURU;BAURU;namr.drs6.bauru@gmail.com;DECA;(14) 32350205
DRS VIII FRANCA;FRANCA;drs8-cdqs@saude.sp.gov.br;MARIA AUGUSTA DE QUEIROZ LIMONTE;(16) 992641108 / (16) 37134333
DRS XI - PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;drs11-smental@saude.sp.gov.br;MARCIA BISSOLI;(18) 981277411 / (18) 32266732
DRS XII - REGISTRO;REGISTRO;drs12-smental@saude.sp.gov.br;ELZA DOMINGUE DE LIMA;(13) 38282934 / (15) 996636868
DRS XIII - RIBEIRÃO PRETO;RIBEIRÃO PRETO;drs13-saudemental@saude.sp.gov.br;MARIA LUCINEIA CARVALHAL RIBEIRO;(16) 999945663 / (16) 36074231
DRS XV -  SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;drs13-saudemental@saude.sp.gov.br;MARIA LUCINEIA CARVALHAL RIBEIRO;(16) 999945663  / (16) 36074231
ESF  JOÃO RODRIGUES DE PROENÇA;NOVA CAMPINA;saudenovacampina@gmail.com;RENATA AP. NICACIO FORTES;(15) 35351147 / (15) 996181846
ESF - SETE BARRAS;SETE BARRAS;saudesb@gmail.com / fabiobernardo04@hotmail.com;FÁBIO BERNARDO DE SOUZA ;(13) 997368047
ESF ARGEMIRO PIMENTA - RUA ESPÍRITO SANTO, S/Nº, JD IGAPIRA;ALVARES FLORENCE;esfalvares@hotmail.com;GLÁUCIA WAIDEMAN FERNANDES;(17) 34861356
ESF BICO DO PATO - CAJATI;CAJATI;bicodopatoesf@gmail.com;VANIA MELO DE LIMA (ENFERMEIRA);(13) 38542303
ESF CAPITÃO BRAZ - CAJATI;CAJATI;esfcapitaobraz@gmail.com;SILVIA NARA SZOTT (ENFERMEIRA);(13) 38541013 / (13) 38541111
ESF SETOR LESTE - RUA JOSÉ DE PAULA DA SILVEIRA, 547 - NHANDEARA;NHANDEARA;esf.leste@nhandeara.sp.gov.br;TAÍS GARCIA JOSÉ DE CARVALHO JEPPEZ;(17) 34723028 / (17) 34723070
ESF VILA ANTUNES - CAJATI;CAJATI;andersonaacm@yahoo.com.br;ANDERSON AUGUSTO CARVALHO MOURA (ENFERMEIRO);(13) 99730084
ESF VILA TATU - CAJATI;CAJATI;vilatatuesf@gmail.com; ANGÉLICA DA SILVA HASHIZUME;(13) 99748063 / (13) 997480637
ESF/UBS RITA DE LOURDES RINALDI;SARUTAIÁ;esfsarutaia@gmail.com;SANDRA REGINA APARECIDA PEREIRA;(14) 33871188 / (14) 33332013
ESPAÇO TERAPEUTICO - RUA CAPITÃO JOSÉ ESTEVES, 888 - ALTINÓPOLIS;ALTINÓPOLIS;saudementalalti@gmail.com / fernandabar@hotmail.com;FERNANDA AP. BARBOSA;(16) 36659563
HOSPITAL MUNICIPAL MARIA ROSA CARDOSO RIBEIRÃO BRANCO;RIBEIRÃO BRANCO;psicossocialsauderb@gmail.com;LUCIANA CARDOSO;(15) 35531247 / (15) 996737937
NASF - NÚCLEO AMPLIADO DA SAÚDE DA FAMÍLIA - UCHOA;UCHOA;nasf@uchoa.sp.gov.br; ELIANA MARIA MORANTE DA SILVA  CARGO: ASSISTENTE SOCIAL ;(17) 31011613 / (17) 997834588
NASF - NÚCLEO DE ATENDIMENTO A SAÚDE DA FAMÍLIA -QUINTANA;QUINTANA/SP;diretoriadasaude@quintana.sp.gov.br;TATIANE BATISTA DA SILVA;(14) 34881740 / (14) 997025835
"NSM ""AURELIA ZAMPIERI DA SILVA"" - RUA ANTONIO ORLANDO GONÇALVES, Nº45, PARQUE MOGI, BARRINHA";BARRINHA;nsmbarrinha@hotmail.com;VERA LUCIA DA SILVA;(16) 39436223 / (16) 39435045
NÚCLEOS DE APOIO À SAÚDE DA FAMÍLIA (NASF) - PIACATU;PIACATU;nasf.piacatu@outlook.com / rcr.parrechio@terra.com.br;RENATA;(18) 36931148
PREFEITURA DE SÃO PAULO I - PROGRAMA REDENÇÃO;SÃO PAULO;adrianabrazao@prefeitura.sp.gov.br;ADRIANA BRAZÃO PILEGGI DE OLIVEIRA;(11) 20272230
PREFEITURA DE SÃO PAULO II - PROGRAMA REDENÇÃO;SÃO PAULO;claudialonghi@prefeitura.sp.gov.br;CLAUDIA LONGHI;(11) 20272230
PRONTO ATENDIMENTO DE SÃO LOURENÇO DA SERRA;SÃO LOURENÇO DA SERRA;saude2@saolourencodaserra.sp.gov.br;SEM INFORMAÇÃO;SEM INFORMAÇÃO
PRONTO ATENDIMENTO E MATERNIDADE MUNICIPAL DE ARUJA;ARUJÁ SP;saudemental@aruja.sp.gov.br;Roberto Carlos Beserra Barreto ;(11)46551550
PRONTO ATENDIMENTO REYNALDO GUERRA - CAJATI;CAJATI;saudemental.cajati@gmail.com / meryluizachaves@yahoo.com.br;MARIA LUIZA CHAVES FERREIRA A. SOCIAL;(13) 996609737 / (13) 38548500
REGULAÇÃO DE SAÚDE - PIRASSUNUNGA;PIRASSUNUNGA;regulacao.saude@pirassununga.sp.gov.br;ALINE CRISTINA BALTER - RESPONSAVEL PELA REGULAÇÃO ;(19) 35656472 / (19) 35656464
REGULAÇÃO DE SAÚDE IBIRÁ;IBIRÁ;regulacao@ibira.sp.gov.br;LETICIA FERNANDA DA COSTA XAVIER;(17) 35512054
REGULAÇÃO SAÚDE - BARRETOS;BARRETOS;centralregulacao@barretos.sp.gov.br;STELLA LISTINA DE SOUSA BORGES OLIVEIA- ADMINISTRATIVO;(19) 99103627 / (17) 99184485
SAÚDE MENTAL - RUA CORONEL LUIZ VENÂNCIO MARTINS, Nº767, CENTRO, SERRA AZUL;SERRA AZUL;a.socialsaude@serraazul.sp.gov.br;LUCIANA SANCHES CIRIERO;(16) 996293838 / (16) 39829120
SAÚDE MENTAL - SEVERÍNIA;SEVERÍNIA;saudementalseverinia@gmail.com;ELIANE APARECIDA - COORDENADORA ;(17) 38171470 / (17) 991023460
SAÚDE MENTAL - VISTA ALEGRE DO ALTO;VISTA ALEGRE DO ALTO;agendamento.saude@vistaalegredoalto.sp.gov.br;DANIELA CRISTINA NEVES SOARES - ADMINISTRATIVO;(16) 32778303 / (16) 98137899
SAÚDE MENTAL BIRIGUI;BIRIGUI;saude.mental@birigui.sp.gov.br;LORAINE E. CORTELAZZI BARBIERE;(18) 36426012 / (18) 36426077
SAÚDE MENTAL ENDEREÇO: RUA OLINDA RALSTON, 451 VILA FORMOSA -SÃO JOSÉ DO RIO PARDO - SP;SÃO JOSÉ DO RIO PARDO;saudemental@saojosedoriopardo.sp.gov.br;ISRAEL DOS REIS COORDENADOR ;(19) 36827886 / (19) 36827887
SECRETARIA DE ASSISTÊNCIA SOCIAL (CREAS E CRAS) - EMBU-GUAÇU;EMBU-GUAÇU;easembuguacu@gmail.com;SONIA/ LILIAN;(11) 46612437
SECRETARIA MUNICIPAL - RUA JOSÉ FAGLIARI N° 75 PQ INDUSTRIAL NOVA ALIANÇA;NOVA ALIANÇA;csalianca@terra.com.br;SILVIA RENATA PATINI ALVES ;(17) 38111208 / (17) 38111111
SECRETARIA MUNICIPAL DE ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL - SÃO PAULO CAPITAL;SÃO PAULO;lsantossantos@prefeitura.sp.gov.br;SEM INFORMAÇÃO;SEM INFORMAÇÃO
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL - SEMAS RIBEIRÃO PRETO;RIBEIRÃO PRETO;programarecomeco@semas.pmrp.com.br;ANTONIO;(16) 988268999 / (16) 39314084
SECRETARIA MUNICIPAL DE PROMOÇÃO SOCIAL;ALVINLÂNDIA;social@alvinlandia.sp.gov.br ;THAIS DE ALMEIDA CANDELORO  - ASSIETENTE SOCIAL;(14) 997979320 / (14) 997979320
SECRETARIA MUNICIPAL DE SAÚDE  - GENERAL SALGADO;GENERAL SALGADO;brunarafaarchanjo@gmail.com / ubssalgado@yahoo.com.br; PAULO HENRIQUE SECRETARIO DE SAÚDE ;(17) 33511000
SECRETARIA MUNICIPAL DE SAÚDE - AV. CASTRO ALVES, Nº61, SOMENZARI, MARÍLIA;MARÍLIA;ss@marilia.sp.gov.br;SERGIO ANTONIO NECHAR;(14) 34026533
SECRETARIA MUNICIPAL DE SAÚDE - BERNARDINO DE CAMPOS;BERNARDINO DE CAMPOS;saude@bernardinodecampos.sp.gov.br;ROSANA;(14) 33463388 / (14) 33463360
SECRETARIA MUNICIPAL DE SAÚDE - CERQUEIRA CESAR;CERQUEIRA CESAR;saudecerqueira@yahoo.com.br;ELISANGELA DE FATIMA NOVAGA;(14) 37143488 / (14) 37143393
SECRETARIA MUNICIPAL DE SAÚDE - IGARAPAVA;IGARAPAVA;igarapavasaude@gmail.com;GISELE;(16) 31725801 / (16) 31723086
SECRETARIA MUNICIPAL DE SAÚDE - ITAÍ;ITAÍ;socialsaude@itai.sp.gov.br;ANA PAULA;(14) 37612500 / (14) 37611125
SECRETARIA MUNICIPAL DE SAÚDE - ITAPORANGA;ITAPORANGA;socialsaudeitapo@hotmail.com;FLAVIANE;(15) 35651511 / (15) 35653036
SECRETARIA MUNICIPAL DE SAÚDE - LAVRINHAS;LAVRINHAS;saude@lavrinhas.sp.gov.br;JOSÉ HENRIQUE ;(12) 31461110 - RAMAL 1122
SECRETARIA MUNICIPAL DE SAÚDE - RUA GABRIEL D'ANNUNZIO, Nº257, CENTRO;BALBINOS;ubsbalbinos@gmail.com;SELMA BAZILIO;(14) 35831394 / (14) 998941682
SECRETARIA MUNICIPAL DE SAÚDE - RUA:PROFESSOR TOLEDO S/N - ARAÇOIABA DA SERRA;ARAÇOIABA DA SERRA;secsaude@aracoiaba.sp.gov.br; ROSANA G. - ASSISTENTE SOCIAL ;(15) 996443319 / (15) 32811174
SECRETÁRIA MUNICIPAL DE SAÚDE - TAIUVA;TAIÚVA;hptaiuva@taiuva.sp.gov.br;MARIA DO CARMO VELHO - COORDENADORA;(16) 32461333 / (16) 32461448
SECRETARIA MUNICIPAL DE SAÚDE - VIRADOURO;VIRADOURO;social.smsviradouro@gmail.com;PATRICIA MINGATOS - ASSISTENTE SOCIAL ;(17) 33928844
SECRETARIA MUNICIPAL DE SAÚDE DE AREALVA;AREALVA SP;saude@arealva.sp.gov.br;DANI OU ROSE;(14) 32961129
SECRETARIA MUNICIPAL DE SAÚDE DE CASTILHO;CASTILHO/SP;saudementalcastilho@gmail.com;MARLENE DE FATIMA SORATTO ;(18) 37410707 / (18) 37419600
SECRETARIA MUNICIPAL DE SAÚDE DE EMBU-GUAÇU;EMBU-GUAÇU;reg.embuguacu@gmail.com;TANIA MORAES DE OLIVEIRA GODOI ;(11) 46649150 / (11) 993545615
SECRETARIA MUNICIPAL DE SAÚDE DE GUAIÇARA;GUAIÇARA;socialonedes@guaicara.sp.gov.br;ONEDES MENDES PORTELLA GONDO;(14) 997105630 / (14) 35472222
SECRETARIA MUNICIPAL DE SAÚDE DE JOSÉ BONIFÁCIO;JOSÉ BONIFÁCIO;smsaude@josebonifacio.sp.gov.br;ANDERSON GUSTAVO PENACHIOTTI - SECRETÁRIO MUNICIPAL DE SAÚDE ;(17) 32459240
SECRETARIA MUNICIPAL DE SAUDE DE JUQUITIBA;JUQUITIBA;dirsaude@juquitiba.sp.gov.br / aline_peruchi@hotmail.com;CLÉRIA ENFERMEIRA;(11) 46814226
SECRETARIA MUNICIPAL DE SAÚDE DE PINDORAMA - RUA 1º DE MAIO, 400 CENTRO - PINDORAMA - SP;PINDORAMA;regulacao@pindorama.sp.gov.br ;ELAINE RUGGERI / SECRETARIA MUNICIPAL DE SAÚDE;(17) 35721426
SECRETARIA MUNICIPAL DE SAÚDE DE SUD MENNUCCI  ( LUDMILLA - PSICÓLOGA CLÍNICA );SUD MENNUCCI;ludmillaketelhuth@hotmail.com;LUDMILLA KETELHUTH RODRIGUES GOMES SOARES;(18) 37861474 / (18) 991210997
SECRETARIA MUNICIPAL DE SAUDE E SANEAMENTO DE SÃO BENTO DO SAPUCAÍ;SÃO BENTO DO SAPUCAÍ;assistentesaude@saobentodosapucai.sp.gov.br;SANDRA MARIA TEIXEIRA ;(12) 39711266 / (12) 39712441
SERVIÇO DE REFERÊNCIA EM ÁLCOOL E DROGA - SARAD;BOTUCATU;sarad.hcfmb@unesp.br;FERNANDO CORDEIRO PIMENTEL;(14) 38112814 / (14) 38112813
SMS MACAUBAL - UAC REGULAÇÃO RUA: CAMPOS SALES, 749 - MACAUBAL;MACAUBAL;uacregulacao@macaubal.sp.gov.br;ANA CLAUDIA SOARES MEDEIROS;(17) 996761426 / (17) 38746050
SMS SAÚDE - ITABERÁ;ITABERÁ;saude@itabera.sp.gov.br;JULIANA APARECIDA DE OLIVEIRA  -  ASSISTENTE SOCIA;(15) 996778298 / (15) 35621211
UBS  - BOM SUCESSO DE ITARARÉ;BOM SUCESSO DE ITARARÉ;prirsilva01@gmail.com;PRISCILA APARECIDA RODRIGUES DA SILVA;(15) 997422708 / (15) 35331312
UBS - BOCAINA;BOCAINA SP;social.saude@bocaina.sp.gov.br;NATALIA MANECHINI DIMAN ;(14) 36668622 / (14) 36669090
UBS - JOSÉ AUGUSTO BATISTA FILHO MENEGUETI  - PEDRO DE TOLEDO;PEDRO DE TOLEDO;saude@pedrodetoledo.sp.gov.br ;FABIANA  DINIZ MORATO - PSICOLOGA;(13) 34197040
UBS - MERIDIANO;MERIDIANO;socialsaude@meridiano.sp.gov.br;ROSANGELA FRANCISVO DE OLIVEIRA CINELI;(17) 997856361 / (17) 34751144
UBS - RUA ANTÔNIO MENDES, Nº140, CENTRO - POLONI;POLONI;assistenciasocialubspoloni@gmail.com;ALINE MAITÊ MORETI;(17) 38199910
UBS - RUA JOSÉ PEREIRA, Nº200 - IBIRAREMA;IBIRAREMA;saude@ibirarema.sp.gov.br;DANIELE DIONISIO ALVES;(14) 33071472
UBS - TAQUARITUBA;TAQUARITUBA;saudemental@taquarituba.sp.gov.br;IRONICE;(14) 37622510
UBS - UNIDADE BASICA DE SAÚDE - JUQUIÁ;JUQUIÁ;social.susjuquia@gmail.com;STHEFANI MARIA BERALDO SANTANA- ASSISTENTE SOCIAL DA ATENÇÃO BÁSICA;(13) 996808974 / (13) 38443490
UBS ÁGUAS DE SANTA BÁRBARA;ÁGUAS DE SANTA BÁRBARA;saude@aguasdesantabarbara.sp.gov.br / a.inogomes@hotmail.com;ALINE INNOCENTE GOMES;(14) 37651139 / (14) 997959854
UBS ALCIMÍNIO ASSIS LOURENÇO - BADY BASSITT;BADY BASSITT;servicosocial@badybassitt.sp.gov.br;GISLAINE C. R. PANZA ASSISTENTE SOCIAL ;(17) 38185020
UBS ALFREDO ALEXANDRE - EMBAÚBA;EMBAÚBA;saude@embauba.sp.gov.br;SANDRA (SECRETÁRIA DA SAÚDE);(17) 35661211
"UBS- AMADEU GARCIA DE SOUZA - RUA: AURÉLIO PARIZI N"" 292 CENTRO - PARISI";PARISI;saude@parisi.sp.gov.br;MARLI DONIZETE - DIRETORA;(17) 38391138
UBS ANALÂNDIA;ANALÂNDIA-SP;social@analandia.sp.gov.br / ve.analandia@gmail.com;KELLY;(19) 992367388 / (19) 35669100
UBS APARECIDA ALVES G. GORNI - RUA GABRIEL ASSAD SN - SALES;SALES;saude@sales.sp.gov.br;IVANA DE CASTRO JODAS DOMINGUES;(17) 35571111 / (17) 35571135
UBS ARNALDO ROMANO -  RUA ARAUJP TEIXEIRA 884, CENTRO - PONTES GESTAL SP.;PONTES GESTAL;luciomota@pontesgestal.sp.gov.br;LUCIO WILIAN MOTA SIQUEIRA;(17) 38441254 / (17) 38441266
UBS BETO SPANA;COSMÓPOLIS;sem informção;CILENE OU JANINI;(19) 38724012
UBS DE CLEMENTINA;CLEMENTINA;ubsclementina@yahoo.com.br / luiz.psicologo@yahoo.com.br;LUIZ GONZAGA FERRAZ;(18) 997271738 / (18) 36581559
UBS DE GABRIEL MONTEIRO;GABRIEL MONTEIRO;assistenciasocial@gabrielmonteiro.sp.gov.br;BEATRIZ;(18) 36021128
UBS DE NOVA GRANADA;NOVA GRANADA;novagranada@gmail.com;GISLAINE APARECIDA NOGUEIRA - COORDENADORA;(17) 991326190 / (17) 32625520
UBS DR. GERALDO CASSONI - AVENIDA AURÉLIO ORLANDI, Nº217;SANTA LÚCIA;ubstalucia@gmail.com;ANDREZA E. M. DO SACRAMENTO NASCIMENTO;(16) 33961331
UBS DR. XISTO A. RANGEL - RUA: RUI BARBOSA, 364 CENTRO URUPÊS - SP;URUPÊS;saude@urupes.sp.gov.br;IVALDA - ASSISTENTE SOCIAL ;(17) 981916407 / (17) 35521324
UBS F  - COROADOS;COROADOS/SP;agenda.cs3coroados@hotmail.com;APARECIDA DE FATIMA VALENCIA OLIVIEIRA;(18) 996112096 / (18) 36451233
UBS GASTÃO VIDIGAL;GESTÃO VIDIGAL;saude@gastaovidigal.sp.gov.br;QUITERIA RODRIGUES MARQUES;(17) 96238810 / (17) 38481158
UBS III - ARIRANHA;ARIRANHA;agendamentoariranha@outlook.com;ELISANDRA POPOLLI - ENFERMEIRA ;(17) 35761729
UBS III - PEREIRA BARRETO;PEREIRA BARRETO/SP;valmira.souza@pereirabarreto.sp.gov.br;VALMIRA BEZERRA GUEDES SOUZA;(18) 37042447 / (18) 37042330
UBS III SÃO JOÃO DAS DUAS PONTES;SÃO JOÃO DAS DUAS PONTES;saude2pontes@hotmail.com;CAMILA DONAIRE - ENFERMEIRA ;(17) 34811539
UBS III URBINO PASCOAL BAILÃO - NOVA LUZITÂNIA;NOVA LUZITÂNIA;vigilancia@novaluzitania.sp.gov.br;KEILE RENATA PADOVEZI;(17) 34831213
UBS LAURO TAVARES DE LIMA - RUA 12 DE JANEIRO, Nº17, CENTRO;IPORANGA;enfermeiromarcio@iporanga.sp.gov.br;MARCIO MOREIRA DE OLIVEIRA JUNIOR;(15) 997205285 / (15) 35561584
UBS MANOEL MORALES - AV. 27 DE DEZEMBRO, Nº300, CENTRO, TRABIJU;TRABIJU;saude@trabiju.sp.gov.br;WILLIAM ADEMIR LETICE;(16) 33491156 / (16) 33491163
UBS MARIO EVARISTO TADEI - RUA AFONSO PENA, 450 - IRAÚÃ;IRAPUÃ;irapuacs@hotmail.com;ROSA MARINA CORRÊA;(17) 996169871 / (17) 35561258
UBS NOVA CANAÃ PAULISTA - NOVA CANAÃ PAULISTA;NOVA CANAÃ PAULISTA;saude@novacanaapaulista.sp.giv.br;ELISETE ARAUJO SALVADOS;(17) 36811142
UBS PANORAMA - TABOÃO DA SERRA;TABOÃO DA SERRA;ubs.panorama@taboaodaserra.sp.gov.br;VANINI;(11) 988038448 / (11) 47711413
UBS PRACINHA;PRACINHA;saude@pracinha.sp.gov.br;IRANETE FRANCISCA PEREIRA;(18) 35521140
UBS PREF. ERIVELTO BITTENCOURT - BARRA DO TURVO;BARRA DO TURVO;secsaudebarradoturvo.sp.gov.br;JULIANA SANCHES ;(15) 35789430
UBS SAÚDE DA FAMÍLIA DE BORACEIA;BORACEIA SP; saude@boraceia.sp.gov.br;MARIA HELENA SCIPIONI;(14) 32959107
UBSF ARLINDO VIDAL LEME - RUA: HINTZ BRANDÃO, 82 LAVIA /SP;LAVINIA;saude@pmlavinia.sp.gov.br;KELLY OGASAWARA LISBOA  GERENTE;(18) 36981284
"UMS ""JOSÉ ATILIO MARCARI"" - AV.JAMIL SAID SALEH, Nº480, JD.PAULISTA, BARRINHA";BARRINHA;saudebarrinha@outlook.com;VERA LUCIA DA SILVA;(16) 39435045 / (16) 39436223
